folder_no,img_no,Speed,Steering_angle,Cur_position,Cur_yawangle,direction,weight
straight/0,0,0.642459719740695,-0.0037376233751922833,"[174.9736873608886, -2.2588798682577833]",1.5735577896789157,0.0,1
straight/0,1,1.2920368441021963,-0.0030577857504329314,"[174.87806939756823, -2.2591247100659717]",1.5734823781160838,0.0,1
straight/0,2,1.9676469805298482,-0.0025957614408153038,"[174.71328369828586, -2.2595283774165886]",1.573339487286845,0.0,1
straight/0,3,2.658113654675661,-0.002244001335845707,"[174.47901059843562, -2.2600609071530555]",1.573150664691724,0.0,1
straight/0,4,3.3535107256833436,-0.0019566687003483687,"[174.17509067805025, -2.26069340159991]",1.5729326230211824,0.0,1
straight/0,5,4.00325132207862,-0.0017147823036827907,"[173.80203124918813, -2.2613974098633127]",1.572694717827657,0.0,1
straight/0,6,3.9999105650388236,-0.001571153463091484,"[173.40142974931115, -2.262108314930744]",1.5724375204251233,0.0,1
straight/0,7,4.0052737756333325,-0.001440924781187136,"[173.00109157762802, -2.2627134687423207]",1.5722104434076996,0.0,1
straight/0,8,4.0076397771988095,-0.001319574265844189,"[172.60044284978898, -2.263236195081442]",1.5720032145152532,0.0,1
straight/0,9,4.008195491684985,-0.001206031256619518,"[172.19966615893216, -2.263682499944527]",1.571814068366673,0.0,1
straight/0,10,4.007186932475415,-0.0010993895742130153,"[171.7989195263445, -2.264057663498172]",1.5716413552641106,0.0,1
straight/0,11,4.005125618245387,-0.0009989887909460128,"[171.39832600204272, -2.264366450129427]",1.5714838213825941,0.0,1
straight/0,12,4.002635507285893,-0.0009043723184969035,"[170.9979570424497, -2.264614039681483]",1.5713404178551273,0.0,1
straight/0,13,4.000278416158252,-0.0008152785822045866,"[170.59782781316122, -2.264805994983657]",1.5712102638545709,0.0,1
straight/0,14,3.9984360958354292,-0.000731567437599127,"[170.1979066835681, -2.2649478905062495]",1.5710925854360416,0.0,1
straight/0,15,3.9972771021443854,-0.0006531398848482204,"[169.79813362034412, -2.2650449582550194]",1.5709866605945915,0.0,1
straight/0,16,3.9967911395697526,-0.0005798863524555216,"[169.39843993236624, -2.2651019375872408]",1.5708917853459565,0.0,1
straight/0,17,3.9968537049617106,-0.0005116683819905307,"[168.99876370145927, -2.2651231060054315]",1.5708072615377051,0.0,1
